CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster,LTV_Score
12346.0,326,1,77183.6,1,1,4,114,Big Spender,2,0.15702462062413738
12347.0,2,7,4310.0,4,4,4,444,Champions,0,0.16737819021932065
12348.0,75,4,1797.24,2,3,4,234,Big Spender,0,0.1284897125915162
12349.0,19,1,1757.55,3,1,4,314,Big Spender,0,0.14589091906967938
12350.0,310,1,334.4,1,1,2,112,Other,1,0.02632728561774139
12352.0,36,8,2506.04,3,4,4,344,Big Spender,0,0.15216892853767908
12353.0,204,1,89.0,1,1,1,111,Other,1,0.06851673351088335
12354.0,232,1,1079.4,1,1,3,113,Other,1,0.0590239746390498
12355.0,214,1,459.4,1,1,2,112,Other,1,0.06515623689477507
12356.0,23,3,2811.43,3,3,4,334,Big Spender,0,0.14952829465764125
12357.0,33,1,6207.67,3,1,4,314,Big Spender,0,0.14820179866310595
12358.0,2,2,1168.06,4,2,3,423,Potential Loyalist,0,0.15335817167473637
12359.0,58,4,6372.58,2,3,4,234,Big Spender,0,0.1434905258478594
12360.0,52,3,2662.06,2,3,4,234,Big Spender,0,0.13759955666966392
12361.0,287,1,189.9,1,1,1,111,Other,1,0.03531876593076659
12362.0,3,10,5226.23,4,4,4,444,Champions,0,0.1736590662984641
12363.0,110,2,552.0,2,2,2,222,Other,0,0.10882722327900331
12364.0,8,4,1313.1,4,3,3,433,Potential Loyalist,0,0.15456950069272518
12365.0,291,2,641.38,1,2,2,122,Other,1,0.0361985114526804
12367.0,4,1,168.9,4,1,1,411,Potential Loyalist,0,0.1490882635103268
12370.0,51,4,3545.69,3,3,4,334,Big Spender,0,0.14126116541517128
12371.0,45,2,1887.96,3,2,4,324,Big Spender,0,0.1373505541965065
12372.0,72,3,1298.04,2,3,3,233,Other,0,0.12712266952552437
12373.0,311,1,364.6,1,1,2,112,Other,1,0.02597903048755959
12374.0,25,1,742.9300000000001,3,1,3,313,Other,0,0.1416675369104395
12375.0,11,2,457.5,4,2,2,422,Potential Loyalist,0,0.14847092753447735
12377.0,315,2,1628.12,1,2,3,123,Other,1,0.028307800672978074
12378.0,130,1,4008.62,2,1,4,214,Big Spender,0,0.1052697154663484
12379.0,82,2,852.24,2,2,3,223,Other,0,0.12062303272926364
12380.0,22,4,2724.81,3,3,4,334,Big Spender,0,0.15145856482405715
12381.0,5,5,1845.31,4,3,4,434,Potential Loyalist,0,0.15840831626825633
12383.0,185,5,1850.56,1,3,4,134,Big Spender,1,0.08603162551947886
12384.0,29,2,585.27,3,2,2,322,Other,0,0.1414603176479495
12386.0,338,2,401.9,1,2,2,122,Other,1,0.016870373009133757
